Experiment,Mean AUC,Std Dev (±)
Tt Comb,0.8971014492753623,0.044256852651486524
Tt Cat,0.8847957839262186,0.021369533527199686
Lasso Comb,0.8157575757575758,0.03263487324446262
Rf Comb,0.8153096179183137,0.07040739666149798
Lr Comb,0.6863241106719368,0.07712809231878526
Rf Cont,0.6474703557312254,0.05405104578788984
Tt Cont,0.6307509881422926,0.08164126423616713
Lasso Cont,0.606034255599473,0.038880674642644275
Lr Cont,0.5913043478260869,0.08945323739157361
