Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
LASSO_comb,0.7450990504163878,0.07604121318424291,0.743399209486166,0.07387377038774988,0.7397474203956828,0.07425498595551928
LASSO_cont,0.569580173108146,0.023236399871844664,0.5628853754940711,0.015085126939546372,0.5608427821794396,0.015340548542060732
LR_comb,0.6243024888116165,0.05487509128018562,0.6143083003952569,0.060148043044016976,0.6114526029786316,0.05900126072443431
LR_cont,0.5435528462972683,0.03971265745923115,0.5382345191040844,0.032397798198624365,0.5361559274059274,0.030819893350250583
RF_comb,0.7633970297013775,0.035385178937316616,0.7283662714097495,0.033759805219693656,0.734664350620885,0.03570127348279896
RF_cont,0.5724067599067599,0.050382493550861954,0.5583530961791832,0.038716764017018415,0.5543898376712159,0.038679867161760396
TT_cat,0.8096844772164464,0.021348401853032786,0.8015942028985507,0.029285233183500434,0.8028098216958787,0.02735047518008588
TT_comb,0.8285124189535955,0.020834809980969277,0.8235177865612648,0.02256328918043067,0.8214638860918606,0.0224511927754955
TT_cont,0.6052715650166924,0.09914786002391292,0.5902635046113307,0.08585933346261702,0.5884158561744768,0.09109638895394191
