Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
LASSO_comb,0.7570818282815187,0.07182316029052788,0.7487908961593173,0.07223512911694187,0.7486652656863015,0.07177152414309783
LASSO_cont,0.5845460681411128,0.021015304453112667,0.5879089615931722,0.03133838891659137,0.5812981956071492,0.022359618457396865
LR_comb,0.6367491046843027,0.05492735445027595,0.641678520625889,0.05010344230498164,0.6320812079395354,0.05315939896556024
LR_cont,0.5599744068414935,0.037384839036209025,0.5610241820768136,0.044399456443583285,0.5561789739421318,0.03575246826146531
RF_comb,0.761930352834243,0.03294104114437724,0.7591749644381224,0.030771526504554423,0.7504703170430572,0.03329747001667042
RF_cont,0.585338749680855,0.04597229047147156,0.5931721194879089,0.04928624790631699,0.5794207877408085,0.04077993668247389
TT_cat,0.8149926853009367,0.021379786358578005,0.8128022759601707,0.023982103460264678,0.8113374143174508,0.025311127719071364
TT_comb,0.8361423040602608,0.019527828089063677,0.8287339971550498,0.022217039374869133,0.8280887809028735,0.022181977576412784
TT_cont,0.6164398080992416,0.09084879852478711,0.6258890469416786,0.08417880299011943,0.6126765443371613,0.08562166014974291
