,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,16.358981556441947,-0.21402869029788282,0.40224638057673,-0.5320835702511835,0.5946681160756738,
WASH7P,185.44872193958506,0.08735746339305857,0.16120998871002112,0.54188617028064,0.5878969244825272,0.9079605053254044
MIR6859-1,11.505430562195908,0.04186373907126508,0.33993116098192466,0.12315357894915413,0.9019854842875311,
MIR1302-2HG,4.20262075532178,-0.2607564955592921,0.710148665575505,-0.36718578545518327,0.7134804414943889,
MIR1302-2,0.9032450287262329,-1.0579847298783356,1.0399335742513334,-1.0173579890811755,0.3089831595535787,
FAM138A,9.106785225228535,-0.44170628520982763,0.7355139286640103,-0.6005410203612924,0.5481457314428155,
OR4F5,4.877896179672118,0.23646309877618618,0.8179521967633386,0.28909158715127575,0.7725112913566514,
LOC100996442,90.03185804931425,0.0595708137523509,0.1997491508515268,0.29822812011165833,0.7655290609947955,0.9552195895983674
LOC729737,230.85955753481667,0.3891769204930735,0.25844884254135675,1.5058180050885612,0.1321138999321212,0.6167455531511344
DDX11L17,26.097197807135206,0.0017291474246785865,0.39702578887276196,0.004355252160289115,0.9965250225285958,
WASH9P,211.78401726012905,0.10974319250287842,0.16652384561345746,0.6590238899335725,0.5098804278367425,0.8768128765134318
MIR6859-2,6.730849441522408,0.4388616061888037,0.3106624713255437,1.4126637321729147,0.157754620186227,
LOC107985721,18.57214981382193,-0.10147551119413656,0.6177293149050739,-0.16427180764398439,0.869517174420058,
LOC112268260,61.43215104395553,-0.021181133191355856,0.37234772379243863,-0.05688535698733869,0.954636518855306,0.9917127403260643
OR4F29,6.379278169118887,0.3812413272359842,0.5151262993040168,0.7400929204179177,0.4592436141499896,
LOC100132287,155.72880210388647,0.05738470123059162,0.2097596779683384,0.2735735570649255,0.7844123573934292,0.9605322270201894
LOC105378947,11.07442918009104,0.1345047580908606,0.5819205925313858,0.23113936818382327,0.8172065316857529,
LOC101928626,4.531737397107889,0.4784577437548077,0.6688187186199,0.71537732188791,0.4743759217576772,
MIR12136,64.2376530797751,0.8830133441568386,0.3438381972284494,2.568107183188132,0.010225553310119513,0.30528828894191684
OR4F16,48.54388853552906,-0.22455569960294844,0.33296847053465134,-0.674405295019005,0.5000536772821957,0.8730236438310599
LOC100133331,160.76696156629313,0.07639935781550321,0.1815938682609891,0.42071551505087734,0.6739628303938758,0.9311649757393795
LOC107984841,43.28888651993,-0.0964520068234924,0.20763742525977,-0.4645213005450424,0.6422743022513657,0.923698020605448
LOC107984847,32.882784356858465,0.026133632697170565,0.3182415874838376,0.08211884846287666,0.9345522048385605,0.9891740470529735
LOC107984849,14.152310726213388,-0.4834113660646513,0.3091965079283074,-1.5634438089344098,0.117948242651278,
LOC100288069,102.15409069060625,-0.13627991204403248,0.15005301422931133,-0.908211759317072,0.36376635239858013,0.8040303801583565
LINC01409,124.56932550397389,-0.4246271924781771,0.17373005096129582,-2.4441781380285037,0.014518255993736219,0.33350996062787464
FAM87B,40.04459864213026,-0.213198880283378,0.27342153842737366,-0.779744278777833,0.4355414102661984,0.8442749505467875
LINC00115,39.8116341911454,-0.07302124470703061,0.2752418461007097,-0.26529848473808193,0.7907795317064599,0.9610871138145695
LINC01128,158.4091288000087,-0.21719894681561383,0.15374544322474445,-1.4127179463661457,0.1577386726605745,0.648808311242227
LOC107984850,8.870325094218847,-0.10937177955703865,0.795469504586601,-0.13749336577506924,0.8906408362900118,
FAM41C,8.141833570392226,0.37646581537124957,0.5535899163932231,0.680044567690139,0.4964762417055364,
LOC284600,80.4762662701985,-0.031238713786312204,0.4646071516723787,-0.06723683368597912,0.9463931624163966,0.9902518349838646
LINC02593,77.19576586674997,-0.47638090912080266,0.4885039587782862,-0.9751833133803001,0.3294693377850849,0.7864093033779836
LOC107985728,109.46765100578556,-0.3744803635046267,0.46855295976783673,-0.7992273993748283,0.424158567236514,0.8369186802338303
SAMD11,111.59526488472231,-0.08457721172316725,0.3088357658929219,-0.273858215477839,0.7841935835842483,0.9603962830768183
NOC2L,250.46305466808462,-0.0725094720441343,0.18202756678820006,-0.3983433571273487,0.690377104798445,0.9348903630320392
