,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,17.473085309295595,0.062307746018089596,0.1404196025381829,0.44372541220622586,0.65724112034686,0.793791463699067
WASH7P,599.6329409471947,0.015170814247875865,0.1017042381564616,0.14916599861391336,0.8814226489599715,0.9340343756527728
MIR6859-1,21.318809413748316,0.026760087458653554,0.1350951477353739,0.1980832613697685,0.8429799208449149,0.9116426432778024
MIR1302-2HG,3.2786830780139242,0.4853258506833505,0.17771112014885257,2.7309818894666624,0.006314594156414653,0.041608665066375124
MIR1302-2,0.8761186540780965,0.21128904710416327,0.2522143946168483,0.8377358771498479,0.4021790590314548,0.5935261352617799
FAM138A,1.5886563499634117,-0.25889073814795205,0.18015004752760283,-1.4370839292078703,0.1506941470451045,0.31664584557635433
OR4F5,0.0,,,,,
LOC100996442,173.61607936161542,-0.3102668966595926,0.10822282554381439,-2.8669265942791338,0.004144791368123943,0.032280206564835975
LOC729737,299.3633944919928,0.0410445767017422,0.1570691142703998,0.2613153890400284,0.7938493000209934,0.8820177971914465
DDX11L17,14.53793845505884,0.03468957814293072,0.18077439017559727,0.1918943170503001,0.8478249890571733,0.9144873258605263
WASH9P,633.6220923570879,0.0030026243876681478,0.09643524243720024,0.031136172956930056,0.9751609417974791,0.9867274041361795
MIR6859-2,25.575527592439013,-0.020558493305262684,0.12375470847830992,-0.16612291813418884,0.8680602186817503,0.9260322418349521
LOC107985721,5.317647987839323,0.007056214262721279,0.1822947688338044,0.03870771667153176,0.9691234210074984,0.9838040411543942
LOC112268260,94.13664894375273,-0.4319731090273856,0.12339502035221656,-3.5007337232440117,0.00046397918595300446,0.008945408233939176
OR4F29,0.774888685942028,0.28215138110002047,0.262726318543912,1.0739364927875001,0.28285114606570705,0.47552404501813633
LOC100132287,252.40675129915073,-0.08826116869518966,0.13341323308048764,-0.6615623252450683,0.5082517592321077,0.6850717636923833
LOC105378947,6.972508322273888,-0.1507587815282406,0.1398227746829606,-1.0782133445003987,0.2809385580436179,0.4734169550569111
LOC101928626,0.39304360932590254,-0.1643713786172069,0.40874215555698196,-0.40213953071031405,0.6875813415549126,
MIR12136,16275.051285372047,-0.06347733808104805,0.1147314609397572,-0.5532688031783933,0.5800793598394699,0.7400714875347012
OR4F16,6.085813973360385,0.19548825536701384,0.16018060398455738,1.2204240120474286,0.2223041793024806,0.40793082782617474
LOC100133331,263.5684148406251,-0.07979613363606024,0.13032447523651322,-0.612288163763913,0.5403471193612166,0.7099031299223694
LOC107984841,65.97588204763352,-0.025934734172160315,0.14341744530203354,-0.1808338875200462,0.8564979631933219,0.9193904551486531
LOC107984847,75.51411702280726,-0.054345668178764565,0.15090652200452262,-0.36012802797970417,0.7187513937318322,0.8360308961513457
LOC107984849,18.873394488520002,-0.07515631626583275,0.16070326248164524,-0.4676713783232419,0.6400196120761619,0.7825683365476361
LOC100288069,112.40832925288714,-0.1788415002023091,0.128910941160828,-1.3873259988008952,0.1653423787711784,0.33649090223112416
LINC01409,72.57023392396792,-0.01747964428470973,0.1039035200462909,-0.16822956793881702,0.8664026805725059,0.9249957739551952
FAM87B,24.760693395097363,-0.22701039843740864,0.10874657344178304,-2.087517714375962,0.03684136147658637,0.12865433230859386
LINC00115,51.878494956644374,-0.08533441375220431,0.1215771967113825,-0.7018948952638172,0.482744712639252,0.6646637992068185
LINC01128,1035.1017946531383,-0.38906355636764817,0.11490920221287812,-3.3858346318241606,0.0007096213217888577,0.011634516958080422
LOC107984850,8.33677423151656,-0.23143419283177516,0.14248963820654115,-1.6242177027378464,0.10432935399968168,0.25089135443365124
FAM41C,15.84850402507182,-0.011592704012098769,0.13492279412822578,-0.08592101940226259,0.9315292022319834,0.9629200544245953
LOC284600,17.704557195687578,0.5089404095663773,0.2548028833156715,1.9973887380852697,0.04578297026249271,0.14761397240506902
LINC02593,13.103465290702225,-0.2390646735462075,0.20238806718541077,-1.1812192135181405,0.23751565047187229,0.4252176335383866
LOC107985728,7.724978027996017,-0.23612783210341817,0.24277452724741286,-0.9726219417689526,0.33074123336459393,0.524190599348191
SAMD11,62.48612763555047,-0.21937219472372635,0.12716132477100625,-1.7251487047557472,0.08450067710270333,0.21925048849318243
NOC2L,934.8849261261813,0.01558339315754641,0.058697628571717966,0.2654859069562972,0.790635165082989,0.879821564259208
KLHL17,125.05147395018575,-0.02801655730332766,0.12442765722224483,-0.2251634237015831,0.8218521425084822,0.8990163368647164
PLEKHN1,65.30723431479707,0.3245284643122767,0.21680116048669948,1.4968944980909649,0.13442071206318476,0.2940270261389584
PERM1,14.443359894508589,0.2903183703036876,0.1991508174377541,1.4577814645145935,0.14490078890640387,0.30890762742508254
HES4,96.28064657908975,0.06161817651218638,0.1463648387887634,0.42099029399482296,0.67376216937816,0.8057119825877977
ISG15,89.20805632984246,-0.5158688500029098,0.20856007878391536,-2.473478400137116,0.013380489231640516,0.06692770102806327
AGRN,1119.2181472088625,0.08443875397161736,0.12921940051288608,0.6534526056959761,0.5134645342387489,0.689123772600209
LOC100288175,25.999712868958998,0.324999413118106,0.22778142624016062,1.426803837708189,0.15363644469858262,0.32052214981810506
LOC112267874,14.575990809256252,0.2501629513100878,0.24260852818264741,1.0311383247078318,0.3024759578784516,0.49574108584977816
LOC105378948,66.11889336666985,0.32330082382983066,0.2373962408056282,1.36186159786135,0.17324156747822772,0.3474366460835942
RNF223,7.133442142527903,0.518996370457745,0.23557615317878813,2.2030938337967423,0.027588135718016597,0.1062801300800716
C1orf159,143.44636606114508,-0.1392041338078506,0.13067089931221376,-1.0653032506897215,0.2867387222399025,0.4796749651338448
LINC01342,9.413565106442055,0.29049432387460317,0.27348790899473935,1.0621834250090776,0.288152422952517,0.4812886771035823
MIR200B,2.5600309723379886,0.0063912512860740765,0.28094882651701075,0.022748809330538716,0.9818506416793553,0.9902826962543974
MIR200A,9.733024844386522,0.18821762967740377,0.26830632517561187,0.7015027676079255,0.48298930804947204,0.6647494777844214
MIR429,14.38613311802548,0.2283673173349398,0.26811284789665446,0.851758202288632,0.39434830948734834,0.5861836504954204
TTLL10-AS1,28.620640882963176,-0.6632122185392606,0.16197196192271476,-4.094611256581023,4.228773144842097e-05,0.0021671878704126366
TTLL10,40.61543231620861,-0.3105638893143387,0.09926160679848985,-3.1287413062415146,0.0017555679500819705,0.01929007211188825
TNFRSF18,12.205998308993502,0.17819605936326546,0.18406660430488261,0.9681064092870788,0.3329912292719692,0.5266602978632199
TNFRSF4,25.757267771275576,-0.4405027411978768,0.15815334655866742,-2.785288776892692,0.005348007064017575,0.03772985332119466
SDF4,1503.6720169585155,-0.1625640737974539,0.07097359866513692,-2.2904865591563603,0.02199312685364156,0.0918643990414823
B3GALT6,307.31796099494505,0.1448581207442828,0.09863836711665042,1.4685778463158519,0.14194732733663007,0.3046274967057647
C1QTNF12,10.712174519663701,-0.3226370348199452,0.1692114176963194,-1.9067096015883276,0.05655820294182313,0.16941308815835243
UBE2J2,583.1846565726536,-0.029027148283173813,0.045571090315994565,-0.6369640946024469,0.5241482316014094,0.6972458291235141
LINC01786,61.190367520266825,0.018609779227133746,0.12435089915150198,0.1496553652134084,0.88103652488233,0.9337893703695296
SCNN1D,131.33497046013554,0.04166502568337378,0.13394550254318388,0.3110595346039411,0.7557553628544655,0.8581982523680879
ACAP3,941.1627564828203,-0.14857348784446278,0.09261321102444811,-1.6042364388514965,0.10866194553203096,0.25706212786212196
MIR6726,0.40455352777619497,-0.26290883174935403,0.3602162789799632,-0.7298638265151203,0.4654734254378122,
