Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
Lasso Cont,0.8345380600329106,0.0327149249262581,0.832365003417635,0.033073455262911604,0.832029278675896,0.03316241379360961
Lr Cont,0.8409797531167339,0.03657667091061369,0.8375939849624059,0.03531834340318206,0.8371683136630466,0.035234050693574395
Rf Cont,0.8569035899651805,0.02071002713677724,0.853485987696514,0.02191596914597164,0.853036318509268,0.022240756147304808
Tt Cont,0.8659885410187727,0.02058239609802668,0.863943950786056,0.020765725732587493,0.8637162353977856,0.020847683752634332
