Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
Lasso Cont,0.8346949177019825,0.032802399583126945,0.8321187584345479,0.032945201610003715,0.8319835544348271,0.03313875448216862
Lr Cont,0.8412180868794115,0.03674244011958207,0.837246963562753,0.03512895946615006,0.837110013679254,0.035202739737215605
Rf Cont,0.8570978798023274,0.020528404359962036,0.8531713900134953,0.022235899965115002,0.8529737005927688,0.022307872242426245
Tt Cont,0.8660961376420486,0.020494841009469696,0.8637651821862349,0.0209137604618737,0.8636802308526486,0.02087978143933204
