Experiment,Mean AUC,Std Dev (±)
Tt Cont,0.9287804531571844,0.01709978450416619
Rf Cont,0.926296256836423,0.020855570408151242
Lasso Cont,0.8997940194616095,0.02146657802751918
Lr Cont,0.897336458555295,0.013192042008252493
