Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
Lasso Comb,0.7631002331002331,0.14060473607885227,0.7287878787878788,0.14021497334859728,0.7258658008658009,0.12444927499211718
Lasso Cont,0.6303463203463203,0.14540225302028034,0.6666666666666667,0.16148984962999066,0.6313504611330698,0.15055770178607936
Lr Comb,0.7456759906759907,0.13070796216253722,0.6954545454545454,0.09515344526125806,0.7024891774891775,0.09648582506971981
Lr Cont,0.6720202020202021,0.1152664675213194,0.6924242424242424,0.14513854563427936,0.6702465650291738,0.1256198199657204
Rf Comb,0.45519480519480526,0.1246753246753247,0.5409090909090909,0.08181818181818183,0.49290909090909096,0.10581818181818183
Rf Cont,0.5016483516483516,0.21118923649628224,0.5151515151515151,0.07843744912451384,0.488,0.11127243843627922
Tt Cat,0.6154761904761905,0.2106705631259395,0.5984848484848484,0.09315409787235998,0.592231884057971,0.14006430545230197
Tt Comb,0.6154761904761905,0.2106705631259395,0.5984848484848484,0.09315409787235998,0.592231884057971,0.14006430545230197
Tt Cont,0.47738095238095235,0.1781105162787147,0.5727272727272728,0.1941286954914784,0.5174989648033126,0.18033466130058948
