Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
Lasso Comb,0.8421978021978023,0.08727423130745944,0.8263736263736263,0.09634047821671948,0.8245028780743067,0.08966401266592071
Lasso Cont,0.7851072736787023,0.08465228879701571,0.7538461538461538,0.10622457998764459,0.7569190953973564,0.09627215378857876
Lr Comb,0.8243406593406594,0.07190114172850173,0.8120879120879121,0.08472235282372033,0.8095368916797488,0.07562256084968752
Lr Cont,0.80002442002442,0.08861987496510151,0.7681318681318682,0.10473628621928664,0.7768657429526995,0.09478024413601484
Rf Comb,0.6631083202511774,0.0915227629513344,0.7978021978021979,0.02417582417582418,0.7223736263736263,0.06189010989010991
Rf Cont,0.684247071609709,0.10602894716442869,0.7835164835164836,0.061538461538461514,0.7207948717948719,0.06921239518175337
Tt Cat,0.7375981161695446,0.11569246302505368,0.8131868131868132,0.05494505494505497,0.7665347985347986,0.08053927304518359
Tt Comb,0.7375981161695446,0.11569246302505368,0.8131868131868132,0.05494505494505497,0.7665347985347986,0.08053927304518359
Tt Cont,0.6780088958660387,0.13579014202796374,0.7846153846153847,0.08862349518090527,0.7236260551043159,0.10684829122171952
