Experiment,Mean AUC,Std Dev (±)
Tt Comb,0.8757575757575756,0.06803013430498074
Tt Cat,0.809090909090909,0.1034749762361447
Lasso Comb,0.8,0.12941913032765226
Rf Comb,0.7818181818181819,0.07272727272727272
Lr Comb,0.7515151515151514,0.052135304648743185
Lr Cont,0.7151515151515151,0.10249414863810764
Lasso Cont,0.6606060606060605,0.13054944986992736
Tt Cont,0.6393939393939394,0.27279460448307635
Rf Cont,0.6045454545454545,0.061433742220343285
